IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
15.160.250.170,2083,80,false,MXP,Europe,Milan,289,0.00
15.161.186.110,2096,80,false,MXP,Europe,Milan,289,0.00
15.160.252.181,2082,80,false,MXP,Europe,Milan,290,0.00
15.161.216.233,2052,80,false,MXP,Europe,Milan,290,0.00
15.160.250.170,2096,80,false,MXP,Europe,Milan,290,0.00
15.161.40.69,2096,80,false,MXP,Europe,Milan,290,0.00
15.160.250.170,2087,80,false,MXP,Europe,Milan,290,0.00
15.161.186.110,2053,80,false,MXP,Europe,Milan,290,0.00
15.161.216.233,2086,80,false,MXP,Europe,Milan,291,0.00
15.160.252.181,2053,80,false,MXP,Europe,Milan,291,0.00
13.48.36.215,2082,80,false,ARN,Europe,Stockholm,292,0.00
163.123.173.36,2083,80,false,ORD,North America,Chicago,300,0.00
13.49.119.167,2082,80,false,ARN,Europe,Stockholm,302,0.00
13.53.47.110,2087,80,false,ARN,Europe,Stockholm,304,0.00
13.51.138.200,2096,80,false,ARN,Europe,Stockholm,304,0.00
13.49.53.81,2053,443,true,ARN,Europe,Stockholm,305,0.00
13.53.47.110,2086,80,false,ARN,Europe,Stockholm,306,0.00
163.123.173.214,2095,80,false,ORD,North America,Chicago,309,0.00
13.48.36.215,2086,80,false,OSL,Europe,Oslo,309,0.00
13.49.119.167,2095,80,false,ARN,Europe,Stockholm,309,0.00
13.49.119.167,2083,80,false,ARN,Europe,Stockholm,309,0.00
13.48.36.215,2096,80,false,ARN,Europe,Stockholm,318,0.00
163.123.173.10,2087,80,false,ORD,North America,Chicago,319,0.00
163.123.173.42,2082,80,false,ORD,North America,Chicago,320,0.00
163.123.173.36,2087,80,false,ORD,North America,Chicago,322,0.00
163.123.173.42,2086,80,false,ORD,North America,Chicago,323,0.00
163.123.173.10,2052,80,false,ORD,North America,Chicago,325,0.00
163.123.173.42,2096,80,false,ORD,North America,Chicago,332,0.00
163.123.173.42,2053,80,false,ORD,North America,Chicago,349,0.00
163.123.173.10,2053,80,false,ORD,North America,Chicago,351,0.00
163.123.173.10,2083,80,false,ORD,North America,Chicago,355,0.00
163.123.173.26,2096,80,false,ORD,North America,Chicago,361,0.00
163.123.173.10,2095,80,false,ORD,North America,Chicago,361,0.00
163.123.173.36,2096,80,false,ORD,North America,Chicago,367,0.00
13.245.152.196,2087,80,false,CPT,Africa,Cape Town,382,0.00
163.123.173.10,2082,80,false,ORD,North America,Chicago,398,0.00
13.246.85.121,2083,80,false,CPT,Africa,Cape Town,403,0.00
13.246.85.121,2082,80,false,CPT,Africa,Cape Town,406,0.00
13.246.85.121,2086,80,false,CPT,Africa,Cape Town,419,0.00
13.246.85.121,2052,80,false,CPT,Africa,Cape Town,423,0.00
13.245.152.196,2096,80,false,CPT,Africa,Cape Town,423,0.00
13.245.152.196,2052,80,false,CPT,Africa,Cape Town,430,0.00
